SA2,SA2 NAME,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19,2014-15,2015-16,2016-17,2017-18,2018-19
128011602,Caringbah,6937,6967,7107,7364,7482,41,41,41,41,41,430318911,446935311,463336004,514316238,525047522,52754,54572,55495,57954,59833,62032,64150,65194,69842,70175
128011603,Caringbah South,7722,7735,7843,7991,8188,47,47,46,46,47,597233647,629395929,643196029,677042958,701924019,52088,54252,56190,57623,60902,77342,81370,82009,84726,85726
128011604,Cronulla - Kurnell - Bundeena,15711,15846,15897,15988,16071,43,44,44,44,45,1145851971,1226305460,1247197637,1321356645,1347348597,55083,57593,58549,60654,62015,72933,77389,78455,82647,83837
128011605,Lilli Pilli - Port Hacking - Dolans Bay,2187,2159,2179,2186,2200,47,48,48,48,48,209144600,218518183,236285537,245969194,263060410,57429,57876,60508,60701,64854,95631,101213,108438,112520,119573
128011606,Woolaware - Burraneer,5131,5164,5410,5571,5713,46,46,46,46,46,507162118,479977881,508063905,547639910,549523235,56652,59394,60839,63120,65271,98843,92947,93912,98302,96188
128021533,Heathcote - Waterfall,3885,3850,3953,3999,4047,44,45,45,45,45,228573637,236520141,244842803,260536189,273830752,49791,51707,52620,56308,58800,58835,61434,61938,65150,67663
128021534,Illawong - Alfords Point,7194,7121,7153,7174,7127,47,47,47,47,47,496628091,509871067,531228145,532487237,543074202,51600,54535,56582,58150,60188,69034,71601,74266,74225,76200
128021535,Menai - Lucas Heights - Woronora,13604,13601,13686,13837,13808,45,45,45,45,45,920210858,930771369,958225876,990232243,1020067824,54420,55005,56019,58286,60288,67643,68434,70015,71564,73875
128021536,Oyster Bay - Como - Jannali,12991,12967,13301,13438,13584,44,45,45,45,45,938832544,977539101,1010240485,1044546307,1098636878,55391,56529,57627,59865,62503,72268,75387,75952,77731,80877
128021537,Royal National Park,np,np,4,8,12,np,np,35,32,34,np,np,171279,307605,554807,np,np,30837,26370,35211,np,np,42820,38451,46234
128021538,Sutherland - Kirrawee,12226,12411,12642,12842,13198,41,41,41,41,41,742126070,785774147,813564237,848842686,909262822,53378,55289,56772,58156,60526,60701,63313,64354,66099,68894
128021607,Engadine,10029,9976,10078,10162,10305,43,43,43,43,43,605853864,625167015,633079797,672046806,701018799,52667,54287,54794,57252,59167,60410,62667,62818,66133,68027
128021608,Loftus - Yarrawarrah,4636,4560,4597,4574,4623,44,44,44,45,45,295850559,296650415,310703484,317154822,332556220,51243,53274,55347,56894,59727,63816,65055,67588,69339,71935
128021609,Woronora Heights,2504,2508,2540,2525,2518,45,45,46,46,47,175604932,182953875,185654371,190219294,193927974,54935,57913,59171,59629,62317,70130,72948,73092,75334,77017
201011001,Alfredton,6225,6718,7124,7558,7989,42,42,42,42,42,350925666,387942309,427625802,470977733,508645842,48532,49385,50845,52448,53932,56374,57747,60026,62315,63668
201011002,Ballarat,7289,7400,7470,7585,7595,45,46,47,47,47,489942604,538382955,537056735,566382314,591465895,47894,49564,50413,51736,53688,67217,72754,71895,74671,77876
201011003,Ballarat - North,12503,12516,12889,13356,13598,43,43,43,43,43,662871477,684128661,722652289,798508331,820866354,44494,45816,46561,49211,50593,53017,54660,56067,59786,60367
201011004,Ballarat - South,11347,11529,11905,12294,12722,40,39,40,40,40,515987258,531985105,567584113,602910502,646001740,40846,41544,42531,44293,45828,45473,46143,47676,49041,50778
201011005,Buninyong,3966,4001,4118,4195,4249,45,45,45,45,46,230071502,233227993,247116022,258264399,268782250,46972,47511,49179,51034,52377,58011,58292,60009,61565,63258
201011006,Delacombe,3690,3883,4085,4312,4723,41,41,41,40,39,178432642,191278272,207278527,225081479,259030919,43571,44594,46366,47759,49909,48356,49260,50741,52199,54845
201011007,Smythes Creek,2370,2316,2413,2504,2583,45,45,45,46,46,119207712,120455141,131059100,140654326,154296386,44718,46794,48500,49822,53154,50299,52010,54314,56172,59735
201011008,Wendouree - Miners Rest,6832,6907,6954,7151,7380,42,42,42,42,42,311252484,326767334,330628310,351144399,371981376,41631,42574,42909,45002,46287,45558,47310,47545,49104,50404
201021009,Bacchus Marsh Region,3251,3268,3495,3501,3572,46,46,46,45,46,176100489,181326174,200998940,233266206,219909271,45849,46549,48865,50002,52033,54168,55485,57510,66628,61565
201021010,Creswick - Clunes,3996,3944,4102,4149,4294,48,48,48,48,48,183674914,189657072,207139376,213689760,224288996,38403,39000,40280,41021,43736,45965,48087,50497,51504,52233
201021011,Daylesford,4931,5000,5176,5276,5363,50,50,50,51,51,226732332,233048119,253625202,266121882,279110353,35251,36547,37179,38686,40825,45981,46610,49000,50440,52044
201021012,Gordon (Vicnp),3231,3185,3369,3533,3633,47,47,47,47,47,170304545,173633854,190521220,204771158,219520957,44406,45847,46378,47895,50462,52710,54516,56551,57960,60424
201031013,Avoca,1662,1618,1668,1696,1724,50,50,51,50,50,66072540,63308746,69100808,74282185,79881106,32779,33532,35323,38543,39893,39755,39128,41427,43798,46335
201031014,Beaufort,2013,2044,2136,2165,2268,50,50,49,49,48,84398395,100042104,96877550,105093840,113026373,36933,37259,37380,38984,41170,41927,48944,45355,48542,49835
201031015,Golden Plains - North,2212,2241,2379,2461,2520,46,46,46,46,46,101211592,104674375,114274640,124018845,133035001,40423,40861,42230,44154,47311,45756,46709,48035,50394,52792
201031016,Maryborough (Vicnp),3322,3334,3330,3446,3500,47,47,47,47,47,134395553,136305434,142666824,152420475,159929281,37368,36814,38245,39827,40679,40456,40883,42843,44231,45694
201031017,Maryborough Region,2420,2386,2432,2482,2476,49,49,49,49,49,93148561,91998567,98816284,105460815,110105628,33075,32582,34244,36938,38664,38491,38558,40632,42490,44469
202011018,Bendigo,7599,8009,7546,7726,7941,42,43,42,42,42,398983962,435266398,416243496,439946028,475072846,42773,43995,44737,46208,47893,52505,54347,55161,56944,59825
202011019,California Gully - Eaglehawk,5528,5746,5946,6185,6334,42,42,42,41,41,241245084,257708296,272666341,295513751,314714787,40415,41564,41946,44261,46685,43641,44850,45857,47779,49687
202011020,East Bendigo - Kennington,7781,7611,7889,7944,8176,47,47,46,47,46,420355497,414912209,438239715,459909407,495279115,42741,43396,44216,46635,48672,54023,54515,55551,57894,60577
202011021,Flora Hill - Spring Gully,4847,4844,5115,5286,5407,42,43,42,42,43,248777938,255385625,273848009,290044052,312545998,43213,44717,45009,46562,49582,51326,52722,53538,54870,57804
202011022,Kangaroo Flat - Golden Square,10026,10109,10399,10629,10845,42,43,42,42,42,465403788,476952205,499256549,529680152,561632750,41918,42622,43032,45451,47362,46420,47181,48010,49833,51787
202011023,Maiden Gully,2954,2986,3077,3163,3289,43,43,43,43,43,160248893,165492822,175328025,187409371,198592966,47887,48283,51435,52247,53063,54248,55423,56980,59251,60381
202011024,Strathfieldsaye,5041,5079,5432,5666,5906,44,44,44,44,44,309496847,311797724,337210249,364486241,392318960,50091,51036,51967,53073,55491,61396,61390,62078,64329,66427
202011025,White Hills - Ascot,6199,6640,6962,7229,7636,39,39,39,39,39,311549161,336956397,360205641,392563584,428846221,45654,46070,47060,49283,51368,50258,50746,51739,54304,56161
202021026,Bendigo Region - South,3978,4016,4278,4488,4634,46,46,46,46,46,215543903,223168448,245656662,266833745,280900232,44661,45492,47941,49529,51446,54184,55570,57423,59455,60617
202021027,Castlemaine,5301,5340,5468,5512,5656,49,49,50,50,50,241174022,248190475,262466674,280235172,294803866,38153,39196,38919,42109,42951,45496,46478,48000,50841,52122
202021028,Castlemaine Region,4590,4515,4704,4816,5017,51,51,51,51,51,201158823,204411563,226523749,241999308,257579832,36108,37184,39739,41255,41687,43825,45274,48156,50249,51341
202021029,Heathcote,2044,2081,2147,2214,2258,50,50,51,51,51,90259528,93742962,99749416,109895598,118081965,36787,37721,38413,41695,43832,44158,45047,46460,49637,52295
202021030,Kyneton,5456,5395,5628,5769,5928,46,47,47,47,47,282033084,287552413,315807842,334653633,361501469,41321,42747,44215,46315,47443,51692,53300,56114,58009,60982
202021031,Woodend,3893,3961,4143,4295,4410,47,47,47,48,48,246662846,262465889,284495906,304057797,326308186,47853,50812,51719,53778,56116,63361,66263,68669,70793,73993
202031032,Bendigo Region - North,2306,2281,2490,2535,2650,48,48,48,48,48,113853590,107673987,124808656,134825695,143085889,41869,41947,42583,45727,47033,49373,47205,50124,53186,53995
202031033,Loddon,3550,3365,3493,3571,3601,51,51,51,51,51,143669766,125805077,150946468,173321821,178396632,34289,31137,36456,40616,41119,40470,37386,43214,48536,49541
203011034,Bannockburn,3477,3668,3895,4064,4214,42,42,42,42,42,194438730,210587328,233227777,250935669,272091618,47793,48821,51339,52230,54881,55921,57412,59879,61746,64568
203011035,Golden Plains - South,3869,3925,4093,4291,4381,45,45,46,46,46,196999147,207526761,222393754,242344884,257883606,43622,44438,45813,47743,49785,50917,52873,54335,56477,58864
203011036,Winchelsea,3555,3538,3647,3723,3854,47,47,47,47,47,184821071,187085175,197546566,220295700,241642262,40597,41689,41574,45264,49329,51989,52879,54167,59172,62699
203021037,Belmont,7941,7984,8134,8359,8573,41,41,41,40,40,396032747,405261626,420930803,448659690,482411120,42937,43738,43789,46078,47862,49872,50759,51750,53674,56271
203021038,Corio - Norlane,10507,10653,11042,11390,11874,41,41,41,40,39,470257444,485482823,512355738,539008042,574277126,39882,40737,41003,42649,44170,44757,45572,46401,47323,48364
203021039,Geelong,7590,7885,7888,8109,8404,43,43,43,43,42,466926296,487136957,500148078,524494098,567082988,47931,47695,49194,50550,51932,61519,61780,63406,64680,67478
203021040,Geelong West - Hamlyn Heights,11148,11219,11678,12087,12521,41,41,41,41,41,630487211,654160099,705610981,762712130,823997109,47176,48563,50784,52867,55640,56556,58308,60422,63102,65809
203021041,Grovedale,11892,12946,14364,15459,16948,42,41,40,39,39,601616589,667580364,771138274,859015470,979549293,43848,44606,46522,48496,50679,50590,51567,53685,55567,57797
203021042,Highton,12970,13172,13542,14072,14219,45,45,45,45,44,812477848,830567179,871215067,929999238,991234022,46784,47601,48960,49958,52791,62643,63056,64334,66089,69712
203021043,Lara,9561,9754,10079,10543,10905,42,42,42,42,42,541017187,565586103,608020851,654045712,695550429,48166,49719,51633,53119,55149,56586,57985,60326,62036,63783
203021044,Leopold,7147,7335,7478,7584,7644,42,43,43,43,43,373422301,379373326,396934469,417821619,432394305,44963,45371,46560,48341,49935,52249,51721,53080,55093,56566
203021045,Newcomb - Moolap,7349,7396,7595,7881,8051,44,44,44,44,43,331446110,340819058,358547246,379539734,404793971,40727,41392,42516,43613,45931,45101,46082,47208,48159,50279
203021046,Newtown (Vicnp),6310,6366,6584,6701,6779,45,45,45,45,45,484031076,491873724,525965934,560524597,578577575,52000,53643,56281,57818,59470,76709,77266,79885,83648,85349
203021047,North Geelong - Bell Park,7433,7475,7863,8152,8438,42,43,42,42,42,387182481,401402340,433099649,461698227,499371085,43044,44817,46438,47651,49851,52090,53699,55081,56636,59181
203031048,Clifton Springs,7041,7323,7748,8035,8521,47,47,47,46,46,351660801,375920492,434589838,442212587,476556448,40710,41832,43392,45472,47864,49945,51334,56091,55036,55927
203031049,Lorne - Anglesea,3263,3203,3361,3462,3489,52,52,53,53,53,163118254,164338847,184753871,196672860,204684069,36739,38458,39184,40485,41429,49990,51308,54970,56809,58666
203031050,Ocean Grove - Barwon Heads,13452,14127,15041,15717,16554,45,45,45,45,45,789182403,851439157,943549698,1009263431,1106726616,44974,46419,48516,50235,52476,58667,60270,62732,64215,66856
203031051,Portarlington,3553,3605,3884,4108,4318,54,54,54,54,54,170052212,171713132,191365475,212883111,232756097,36206,36542,37235,38323,39988,47862,47632,49270,51822,53904
203031052,Point Lonsdale - Queenscliff,2606,2627,2789,2919,2993,57,58,57,57,57,147072890,150076400,158831467,175793438,187031777,38639,39384,38832,39994,43520,56436,57128,56949,60224,62490
203031053,Torquay,11153,11442,12298,12755,13537,44,44,44,44,44,706690703,733991415,795943159,867770980,968102182,46338,47833,49674,52107,54955,63363,64149,64721,68034,71515
204011054,Alexandra,3480,3564,3644,3735,3692,50,50,51,50,51,145888418,156971712,166318387,172573860,178745287,33651,35244,37052,37890,39452,41922,44044,45642,46205,48414
204011055,Euroa,3497,3527,3613,3633,3678,52,52,52,52,52,147037859,145285048,157462107,166645763,170678008,35887,35955,37359,38987,39500,42047,41192,43582,45870,46405
204011056,Kilmore - Broadford,6900,7147,7477,7771,8053,44,44,45,44,44,362515030,382979940,411707906,441947891,478157174,45382,46641,47729,49320,51400,52538,53586,55063,56871,59376
204011057,Mansfield (Vicnp),4942,5015,5246,5383,5509,49,50,50,49,49,211562720,222304825,248325318,251773553,271056596,32985,34420,35815,37862,39675,42809,44328,47336,46772,49203
204011058,Nagambie,2143,2150,2255,2360,2426,50,49,49,49,48,100733491,103912708,113929899,126219662,136354808,40036,41560,43978,45235,47727,47006,48331,50523,53483,56206
204011059,Seymour,3169,3225,3214,3355,3386,46,47,46,46,46,145294746,151810937,154748544,167365327,175854431,40378,40662,41505,43392,45393,45849,47073,48148,49885,51936
204011060,Seymour Region,2145,2103,2286,2355,2454,44,44,44,44,44,115002077,107416390,125906578,132335185,142371491,46752,45311,48357,49991,52222,53614,51078,55077,56193,58016
204011061,Upper Yarra Valley,85,78,86,96,97,45,48,48,47,45,3207301,3152581,3484462,4134779,4393722,36585,38337,39127,43740,41375,37733,40418,40517,43071,45296
204011062,Yea,2019,2003,2041,2097,2109,51,51,52,52,52,88940618,89502021,93490508,98704809,104591106,35592,35636,35905,37163,38638,44052,44684,45806,47070,49593
204021063,Benalla,5405,5398,5419,5524,5693,49,49,49,49,49,243695653,251250239,256774472,268931998,286602371,38782,40327,41180,42700,44066,45087,46545,47384,48684,50343
204021064,Benalla Region,2151,2112,2156,2199,2223,51,51,51,51,52,90181041,89898343,94788583,99825550,102527719,34430,35335,35509,37975,38640,41925,42566,43965,45396,46121
204021065,Rutherglen,2219,2205,2250,2296,2336,47,47,47,48,48,111163323,110684622,112792154,118905272,124265372,44088,44680,45033,45971,47557,50096,50197,50130,51788,53196
204021066,Wangaratta,10126,10165,10216,10429,10527,45,46,46,46,45,491298517,501662826,523343213,554992212,571835072,41677,42880,43972,45587,47525,48519,49352,51228,53216,54321
204021067,Wangaratta Region,5872,5767,5959,6041,6143,49,50,49,50,49,274106874,268552348,279576873,292957486,309387002,38213,39159,39755,40688,42619,46680,46567,46917,48495,50364
204031068,Beechworth,2551,2619,2645,2704,2784,50,51,51,51,51,123321584,130108743,131374637,135263230,144381686,40551,42085,41082,42008,44279,48342,49679,49669,50023,51861
204031069,Bright - Mount Beauty,4550,4614,4797,4954,5025,50,49,49,48,48,196111395,200379377,214367358,231472721,242785431,34757,35024,36262,37190,39625,43101,43429,44688,46724,48316
204031070,Chiltern - Indigo Valley,1790,1854,1882,1894,1925,47,47,48,48,48,88905506,92388060,95088235,100348092,102707198,45854,45739,45541,49193,48813,49668,49832,50525,52982,53354
204031071,Myrtleford,2620,2703,2686,2787,2828,49,49,49,49,49,116667692,121198197,122954978,132915891,140029129,37631,38094,38280,39638,42317,44530,44838,45776,47691,49515
204031072,Towong,3506,3480,3544,3636,3605,51,51,52,52,52,163233376,168056661,168841006,171438180,180373785,39511,39583,39307,39305,40331,46558,48292,47641,47150,50034
204031073,West Wodonga,8247,8204,8348,8570,8661,42,43,43,43,43,433010086,438624412,450015928,470382066,500719612,46719,47973,48592,49702,51249,52505,53465,53907,54887,57813
204031074,Wodonga,13203,13322,14065,14597,15048,42,42,42,41,42,685990305,698725314,750098579,795966257,855249656,46610,47166,48234,48998,51308,51957,52449,53331,54529,56835
204031075,Yackandandah,2847,2830,2876,2941,3001,47,48,48,47,48,148861672,149216368,155498057,161567993,171606064,43721,45196,46183,47466,49453,52287,52727,54067,54936,57183
205011076,Drouin,7970,8398,8842,9215,9763,44,44,44,44,43,376757155,403532786,440024910,476400365,519415885,40662,41742,42973,44882,47042,47272,48051,49765,51698,53202
205011077,Mount Baw Baw Region,3372,3456,3535,3642,3730,49,49,49,49,49,169442776,172866027,177032120,184597739,196651673,38864,39325,39154,41422,42324,50250,50019,50080,50686,52722
205011078,Trafalgar (Vicnp),4289,4369,4555,4581,4703,46,46,46,46,46,229791435,232104879,242762394,250571945,268655775,43435,42730,42508,44410,46518,53577,53125,53296,54698,57124
205011079,Warragul,10288,10795,11208,11694,12240,46,46,46,46,45,541772711,573273287,610576684,659836541,719419276,42350,42680,43418,45069,47709,52661,53105,54477,56425,58776
205021080,Alps - East,np,np,4,3,3,np,np,62,63,64,np,np,92393,67978,69486,np,np,32270,31114,32682,np,np,23098,22659,23162
205021081,Bairnsdale,7483,7643,7781,7942,8186,46,46,46,46,46,353880262,365323978,370120469,387020822,414390299,40002,40650,41005,42091,43540,47291,47799,47567,48731,50622
205021082,Bruthen - Omeo,4347,4335,4459,4577,4665,50,50,50,49,49,189407138,188832896,200916807,203894039,207789722,36360,36835,38218,38409,40078,43572,43560,45059,44548,44542
205021083,Lake King,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np
205021084,Lakes Entrance,4952,5009,5110,5288,5343,51,51,51,52,51,213089994,219079758,224850387,234409358,249653503,34070,34799,34575,35390,36991,43031,43737,44002,44329,46725
205021085,Orbost,3153,3062,3133,3199,3260,52,52,52,52,52,134485536,129563253,142025071,136243049,142589583,34229,33108,34188,35600,35437,42653,42313,45332,42589,43739
205021086,Paynesville,3149,3140,3229,3321,3462,54,54,55,55,55,135263517,137029462,146761979,152102380,165935931,33881,34299,35927,36444,37439,42954,43640,45451,45800,47931
205031087,Foster,4746,4721,4858,4916,4997,51,51,51,52,52,209375682,214316609,217867635,216527549,235309719,33707,33109,33966,34854,37285,44116,45396,44847,44045,47090
205031088,French Island,59,62,60,53,43,61,59,56,57,58,1340824,2044708,1641821,1697159,912902,15226,17860,17477,18177,14698,22726,32979,27364,32022,21230
205031089,Korumburra,5007,4994,5139,5290,5427,48,48,47,47,47,228143508,228525229,241666601,262056699,270138346,37707,37033,38595,41642,42483,45565,45760,47026,49538,49777
205031090,Leongatha,6126,6177,6332,6431,6495,48,48,48,48,48,299772831,300689367,310730924,325475119,346432958,38983,38897,39305,40948,42792,48935,48679,49073,50610,53338
205031091,Phillip Island,5479,5648,6018,6338,6534,49,49,49,49,49,234713851,249501165,270937308,293706183,314519370,33348,35514,35931,36813,38038,42839,44175,45021,46341,48136
205031092,Wilsons Promontory,np,np,8,10,9,np,np,41,44,47,np,np,477475,705669,689022,np,np,48294,61865,70131,np,np,59684,70567,76558
205031093,Wonthaggi - Inverloch,10831,11261,11702,12212,12695,48,49,49,49,49,483540288,503818411,532694983,578756900,626371450,36316,36159,36496,38060,39884,44644,44740,45522,47392,49340
205041094,Churchill,6086,6019,6177,6268,6326,46,46,46,46,46,357995317,355319597,369400083,370921087,383778070,45704,45902,45510,46847,49120,58823,59033,59803,59177,60667
205041095,Moe - Newborough,7718,7701,7726,7888,8017,45,45,45,44,44,407130192,417064103,416750785,426266013,450135024,42023,42618,42590,43433,46041,52751,54157,53941,54040,56148
205041096,Morwell,5952,5849,5885,5929,6029,45,45,45,45,44,299667300,294257499,296939075,295955149,306757353,41017,41761,41166,42558,43010,50347,50309,50457,49917,50880
205041097,Traralgon,14564,14696,14980,15266,15725,42,42,42,42,42,902976380,932888580,932315804,978689269,1041406472,49016,50780,50447,52169,54079,62001,63479,62237,64109,66226
205041098,Yallourn North - Glengarry,2589,2484,2598,2621,2708,45,44,45,45,44,161470986,154780897,162777105,164212811,175516757,48129,48790,48148,50472,51768,62368,62311,62655,62653,64814
205051099,Alps - West,37,27,30,23,19,53,54,54,53,54,977559,588268,925685,639491,638452,22526,18714,26350,18835,25376,26421,21788,30856,27804,33603
205051100,Longford - Loch Sport,2038,2095,2177,2220,2291,49,50,50,50,50,116232050,112819805,120777328,118548618,126611668,41478,40033,40383,40507,42485,57032,53852,55479,53400,55265
205051101,Maffra,7595,7625,7684,7703,7910,46,46,46,46,46,396153528,390552616,392316220,402076860,426904680,41894,41606,41980,43501,44993,52160,51220,51056,52197,53970
205051102,Rosedale,2201,2195,2285,2238,2281,45,45,45,45,46,116255234,111541905,111271708,112371107,113012698,42225,41486,40634,42172,41947,52819,50816,48697,50211,49545
205051103,Sale,7919,7907,7890,8041,8160,43,44,44,44,44,467689684,470813192,459524265,478421215,508292826,44257,44680,45220,46718,49010,59059,59544,58241,59498,62291
205051104,Yarram,2759,2721,2750,2787,2856,52,51,51,52,51,149295354,124695566,121062686,127756326,138585338,37337,36367,35388,38003,37232,54112,45827,44023,45840,48524
206011105,Brunswick,16134,16555,17741,18263,19004,34,34,34,34,34,975825882,1030049768,1121215368,1221310186,1309245464,50317,51833,51576,54409,57394,60483,62220,63199,66873,68893
206011106,Brunswick East,6603,7218,7948,8331,8757,34,34,34,34,34,405078275,450609576,513672874,562622035,617340883,51433,52391,54618,56690,59822,61348,62429,64629,67534,70497
206011107,Brunswick West,8148,8402,8887,9195,9397,36,36,35,35,35,489782075,521245835,552469191,598696434,659757301,49611,51370,50643,52890,56381,60111,62038,62166,65111,70209
206011108,Coburg,15122,15361,15929,16470,16841,38,38,37,37,38,871288529,914337185,975582106,1045654116,1117974297,47599,49617,50613,52108,54887,57617,59523,61246,63488,66384
206011109,Pascoe Vale South,5540,5654,6140,6270,6446,43,43,42,42,42,345202294,367442089,407534464,431394518,469076538,50545,52884,55080,56576,59867,62311,64988,66374,68803,72770
206021110,Alphington - Fairfield,5274,5433,5678,5819,5937,42,41,41,41,40,379809135,409351763,434455652,461774657,499585182,54071,55848,57528,59610,61806,72015,75345,76516,79356,84148
206021111,Northcote,14967,15514,16022,16448,16821,39,38,39,39,39,1050922574,1118364223,1202479199,1294309166,1393836804,55102,57060,58653,60986,64111,70216,72087,75052,78691,82863
206021112,Thornbury,10626,11154,11439,11884,12125,38,38,38,38,38,647664682,703116664,744538818,808297645,870010964,50174,52052,53351,56044,59278,60951,63037,65088,68016,71753
206031113,Ascot Vale,8524,8720,9239,9589,9771,39,39,38,39,39,608182905,651298162,705657673,747244149,788325929,55707,56420,57996,59981,61854,71349,74690,76378,77927,80680
206031114,Essendon - Aberfeldie,16957,17507,18304,18810,19182,42,42,42,42,41,1257784449,1316663677,1415790119,1519068770,1578870255,54683,56381,56597,59116,61204,74175,75208,77349,80759,82310
206031115,Flemington,5163,5341,5605,5944,6212,34,34,34,34,34,311515786,324870258,343887024,381628199,417174462,48816,48716,49028,51553,53463,60336,60826,61354,64204,67156
206031116,Moonee Ponds,8659,8987,9269,9601,10067,41,41,41,41,40,649003435,696563129,723748906,769952926,823653935,57873,59112,59800,60879,62722,74951,77508,78083,80195,81817
206041117,Carlton,7337,7796,8400,9030,9422,31,30,31,30,30,421953523,444552892,472390078,516296697,563346766,39658,39048,36819,37254,38891,57510,57023,56237,57176,59791
206041118,Docklands,6665,7337,8957,10207,11263,32,32,32,32,32,486360956,544058834,617832233,706932521,805035975,54734,54667,51342,54047,55150,72972,74153,68978,69260,71476
206041119,East Melbourne,3599,3631,3792,3823,3899,39,40,40,41,41,413029884,446466015,470425745,489607844,515175935,67966,71551,70034,71759,75755,114762,122960,124057,128069,132130
206041120,Flemington Racecourse,54,45,47,59,65,33,35,32,32,32,4282589,3343208,3549726,3607084,4136428,67040,48518,60511,51725,55538,79307,74294,75526,61137,63637
206041121,Kensington (Vicnp),6781,6917,7079,7257,7371,35,35,35,36,36,468897603,495995860,523035242,563416372,597499390,59540,61221,63505,65563,67962,69149,71707,73885,77638,81061
206041122,Melbourne,18460,20622,24075,26083,27182,29,29,29,30,30,981754398,1098985430,1234101152,1343994469,1426389488,32697,31242,28068,28806,30024,53183,53292,51261,51528,52476
206041123,North Melbourne,10909,11482,12853,13534,14582,32,32,32,32,32,661698137,720076044,798383593,881632537,972947841,45602,46480,45254,48424,50074,60656,62713,62117,65142,66723
206041124,Parkville,3187,3394,3626,3920,4045,32,32,32,32,32,214711814,236761558,243777788,261718554,292940311,43984,46050,45596,46314,49544,67371,69759,67230,66765,72420
206041125,South Yarra - West,4167,4289,4720,5182,5106,40,40,39,39,39,512119331,536461878,591714241,704447911,686411116,66468,65975,65330,68512,70451,122899,125079,125363,135941,134432
206041126,Southbank,11273,12110,13321,14398,15422,31,32,32,32,32,834184840,911701163,971296864,1060185549,1157743652,54176,54683,50643,51696,53390,73998,75285,72915,73634,75071
206041127,West Melbourne,np,np,6,8,7,np,np,40,38,41,np,np,646798,1897262,788762,np,np,58023,93272,82813,np,np,107800,237158,112680
206051128,Albert Park,10519,10447,11003,11491,11685,43,44,44,44,44,1171162530,1201916917,1276135492,1348494692,1407013358,64975,67627,66160,66627,67518,111338,115049,115981,117352,120412
206051129,Elwood,10544,10599,10919,10926,11046,38,38,38,38,39,868262775,909852612,940596061,971055003,1018116461,61485,63827,64056,65893,68634,82347,85843,86143,88876,92171
206051130,Port Melbourne,10831,10498,11043,11181,11132,41,42,42,43,43,1053002056,1025306401,1121472328,1197841991,1199212209,69672,71708,73296,74967,76501,97221,97667,101555,107132,107727
206051131,Port Melbourne Industrial,107,133,236,385,610,41,43,36,30,30,14184565,29837252,27412943,33593665,42912061,61159,73408,54090,49240,49381,132566,224340,116157,87256,70348
206051132,South Melbourne,7655,7682,8243,8697,8953,37,38,38,38,38,685944724,717827813,755477010,823766172,843708161,62115,63303,61627,63351,65395,89607,93443,91651,94718,94237
206051133,St Kilda,17747,18254,19624,20032,20537,33,33,33,34,34,1242676552,1326558357,1388869641,1517321170,1596845433,52654,53562,53066,56940,59622,70022,72672,70774,75745,77755
206051134,St Kilda East,10990,10911,11686,12058,12218,34,34,34,34,34,712669788,720665411,781382523,860116179,898478780,52962,53795,54133,56841,60012,64847,66049,66865,71332,73537
206061135,Armadale,6197,6068,6486,6846,6974,40,41,41,40,40,679713912,688285026,732168789,735861150,778500109,62089,64169,64075,66098,69563,109684,113429,112884,107488,111629
206061136,Prahran - Windsor,13476,15042,14996,15009,15150,33,32,33,33,34,1030304139,1111594748,1175121809,1259734638,1341199229,58052,54594,58667,63435,66724,76455,73899,78362,83932,88528
206061137,South Yarra - East,13428,13949,15467,16102,16272,33,33,33,33,33,1237272638,1303249068,1344217807,1489643087,1541734638,59518,60297,60908,63969,66969,92141,93430,86909,92513,94748
206061138,Toorak,10112,9917,10096,10250,10071,49,50,49,49,49,1659942799,1667087701,1773826082,1820859205,1902471849,70023,70630,71282,72451,75759,164156,168104,175696,177645,188906
206071139,Abbotsford,5200,5625,6365,6439,6589,33,33,32,33,33,342567658,391434659,458292458,485396761,515133619,53987,57501,58359,61476,64090,65878,69588,72002,75384,78181
206071140,Carlton North - Princes Hill,5809,5669,5983,6106,6129,36,36,36,36,37,464804754,449959698,483073817,505250888,544297185,53685,54412,54876,57240,60116,80015,79372,80741,82747,88807
206071141,Collingwood,4497,5106,5698,6027,6380,33,33,33,33,33,288455581,343683439,397299391,440190063,495760238,51067,53828,56825,60589,63876,64144,67310,69726,73036,77705
206071142,Fitzroy,6439,6511,7052,7083,7189,34,35,34,35,35,467518359,497600311,569485085,589228908,618516101,52400,53983,54622,58258,60939,72607,76425,80755,83189,86036
206071143,Fitzroy North,7895,7895,8483,8553,8812,37,37,37,37,37,618873041,636606644,710775756,749360519,821275019,56166,57733,59458,62727,65192,78388,80634,83788,87614,93200
206071144,Richmond (Vicnp),20133,20360,21746,22343,22825,34,34,34,34,34,1590035289,1655608288,1807796568,1903458923,2001725264,61670,63515,63992,66967,70247,78977,81317,83132,85193,87699
206071145,Yarra - North,5737,5730,6047,6158,6261,40,40,40,40,40,478630248,488293253,530537242,582300858,623334756,61317,63048,64478,68435,70982,83429,85217,87736,94560,99558
